char,dialog
GIMLI:," Stay close young 
    hobbits."
GALADRIEL VOICE-OVER:,"Frodo! , Frodo!,
 "
GIMLI:,"..and are never seen again,
 "
GALADRIEL VOICE-OVER:,"Your coming to us , is as the footsteps of doom. 
    You bring great evil here! ,Ringbearer!,
 "
SAM:,"Mr Frodo ?,
 "
GIMLI:,"Well!  Here's one dwarf she won't ensnare so easily! I 
    have the eyes of a hawk, and ears of a fox! ,
 "
GIMLI:,"Oh!,
 "
HALDIR:," The dwarf 
    breathes so loud, we could have shot him in the dark.,
 "
HALDIR:,"Mae govannen, Legolas Thranduilion. "
LEGOLAS:,"Govannas v�n gwennen le, Haldir o L�rien. "
HALDIR:,"A, Aragorn in D�nedain istannen le ammen. "
ARAGORN:," Haldir,
 "
GIMLI:,"So much for the legendary courtesy of the Elves! Speak words 
    we can also understand!,
 "
HALDIR:,"We have not had dealings with the dwarves, since the dark 
    days.,
 "
GIMLI:,
ARAGORN:," That! was not so courteous!,
 "
HALDIR:," 
    You bring great evil with you ,You 
    can go no further!,
 "
ARAGORN:,Boe ammen veriad l�n. Andelu i ven! 
ARAGORN:,"Merin le telim. ,
    "
HALDIR:,"Aragorn! ,
 "
ARAGORN:, Andelu i ven. 
"SAM:,Mr Frodo ? , Frodo! Frodo! 
    , I thought I'd lost you,
 ","Mr Frodo ? , Frodo! Frodo! 
    , I thought I'd lost you,
 "
"FRODO:,What are you talking about ?,
 ","What are you talking about ?,
 "
"SAM:,It's just something Gandalf said. ,
 ","It's just something Gandalf said. ,
 "
"FRODO:,What did he say?,
 ","What did he say?,
 "
"SAM:,Don't you lose him Samwise Gamgee and I don't mean to. ,
 ","Don't you lose him Samwise Gamgee and I don't mean to. ,
 "
"FRODO:,Sam! We're still in The Shire.  What could possibly 
    happen!,
 ","Sam! We're still in The Shire.  What could possibly 
    happen!,
 "
"PIPPIN:,  Frodo!  
    Merry! Its Frodo Baggins!,
 ","  Frodo!  
    Merry! Its Frodo Baggins!,
 "
"MERRY:,Hello Frodo!,
 ","Hello Frodo!,
 "
"SAM:,Get off him! , 
    Frodo, are you alright?,
 ","Get off him! , 
    Frodo, are you alright?,
 "
"FRODO:,What's the meaning of this ?,
 ","What's the meaning of this ?,
 "
"MERRY:,Hold these,
 ","Hold these,
 "
"SAM:,You've been into Farmer Maggot's crop!,
 ","You've been into Farmer Maggot's crop!,
 "
"MERRY:,and these,
 ","and these,
 "
"FARMER MAGGOT:,Hoi! You get back here! Wait till I get this through you! 
    , Get out of my fields! You'll know the devil if I catch 
    up with you!,
 ","Hoi! You get back here! Wait till I get this through you! 
    , Get out of my fields! You'll know the devil if I catch 
    up with you!,
 "
"MERRY:,Dunno why he's so upset!  Its only a couple of carrots,
 ","Dunno why he's so upset!  Its only a couple of carrots,
 "
SAM:,"Look Frodo.  It's Mr Bilbo's trolls,
 "
SAM:,"He's going cold!,
 "
PIPPIN:,"Is he going to die ?,
 "
STRIDER:,"He's passing into the Shadow world.  He'll soon become a wraith 
    like them. ,
 "
MERRY:,"They're close!,
 "
"PIPPIN:, and some cabbages and those few 
    bags of potatoes that we lifted last week.  And the mushrooms the week 
    before.,
 "," and some cabbages and those few 
    bags of potatoes that we lifted last week.  And the mushrooms the week 
    before.,
 "
"MERRY:,Yes Pippin, my point is, he's clearly over reacting! Run!,
 ","Yes Pippin, my point is, he's clearly over reacting! Run!,
 "
"PIPPIN:,  Ooh!  that was 
    close! ,
 ","  Ooh!  that was 
    close! ,
 "
"MERRY:,Oh! I think I've broken something 
    ,
 ","Oh! I think I've broken something 
    ,
 "
"SAM:, Trust a Brandybuck and a Took!,
 "," Trust a Brandybuck and a Took!,
 "
"MERRY:,What?  It was just a detour. A shortcut,
 ","What?  It was just a detour. A shortcut,
 "
"SAM:,A shortcut to what ?,
 ","A shortcut to what ?,
 "
"PIPPIN:, Mushrooms! 
    ,
 "," Mushrooms! 
    ,
 "
"FRODO:,I think we should get off the road.,
 ","I think we should get off the road.,
 "
"FRODO:,Get off the road! Quick!,
 ","Get off the road! Quick!,
 "
"SAM:,Ssh.. be quiet,
 ","Ssh.. be quiet,
 "
"MERRY:,What was that!,
 ","What was that!,
 "
STRIDER:,"Sam! Do you know the Athelas plant ?,
 "
SAM:,"Athelas ? ,
 "
STRIDER:,"Kingsfoil,
 "
SAM:,"Kingsfoil, aye, its a weed!,
 "
STRIDER:,"It may help to slow the poison.  Hurry!,
 "
ARWEN:,"What's this ? a Ranger caught off his guard ? ,
 "
ARWEN:,"Frodo Im Arwen. Telin le thaed. Lasto beth nin. Tolo dan na galad 
    "
MERRY:,"Who is she?,
 "
"SAM:, Anything ?,
 "," Anything ?,
 "
"FRODO:,Nothing,
 ","Nothing,
 "
"PIPPIN:, What 
    is going on ?,
 "," What 
    is going on ?,
 "
"MERRY:,That black rider was looking for something. Or someone (he 
    walks up to Frodo and looks him in the face) Frodo ?,
 ","That black rider was looking for something. Or someone (he 
    walks up to Frodo and looks him in the face) Frodo ?,
 "
"PIPPIN:,Get down!,
 ","Get down!,
 "
"FRODO:,I have to leave the Shire. ,Sam and I must get to Bree,
 ","I have to leave the Shire. ,Sam and I must get to Bree,
 "
"MERRY:, Right. Bucklebury 
    Ferry.  Follow me.,
 "," Right. Bucklebury 
    Ferry.  Follow me.,
 "
"PIPPIN:,Run!,
 ","Run!,
 "
ARWEN:,"Frodo,
 "
SAM:,"She's an elf!,
 "
ARWEN:,"He's fading ,
 "
ARWEN:,"He's not going to last.  We must get him to my father. ,
 "
ARWEN:,"I've been looking for you for two days. , There are five wraiths behind you, 
    where the other four are I do not know,
 "
STRIDER:," Dartho 
    guin perian. Rych le ad tolthathon. "
ARWEN:,Hon mabathon. Rochon ellint im. 
STRIDER:,"Andelu i ven. ,
 "
PIPPIN:,"What are they saying ?,
 "
ARWEN:,"Frodo f�r. Ae athradon i hir, tur gwaith nin beriatha hon. "
"MERRY:,Frodo, this way.  Follow me,
 ","Frodo, this way.  Follow me,
 "
"PIPPIN:, Frodo!,
 "," Frodo!,
 "
"MERRY:,Follow me. Run!,
 ","Follow me. Run!,
 "
"MERRY:,Get the rope Sam,
 ","Get the rope Sam,
 "
"SAM:, 
    Frodo! ,
 "," 
    Frodo! ,
 "
"PIPPIN:,Run Frodo!,
 ","Run Frodo!,
 "
"FRODO:, No!,
 "," No!,
 "
"PIPPIN:,Frodo! Come on!,
 ","Frodo! Come on!,
 "
"SAM:,Frodo! Come on!,
 ","Frodo! Come on!,
 "
"PIPPIN:,Frodo!,
 ","Frodo!,
 "
"SAM:,Come on faster!,
 ","Come on faster!,
 "
"FRODO:,How far to the nearest crossing ?,
 ","How far to the nearest crossing ?,
 "
"MERRY:, 
    The Brandywine Bridge, twenty miles.,
 "," 
    The Brandywine Bridge, twenty miles.,
 "
"FRODO:,Come on! ,
 ","Come on! ,
 "
MERRY AND PIPPIN:,"
 "
PIPPIN:," ,  ,
 "
"GATEKEEPER:,What do you want ?,
 ","What do you want ?,
 "
"FRODO:,We're heading for the Prancing Pony.,
 ","We're heading for the Prancing Pony.,
 "
"GATEKEEPR:,Hobbits! Four hobbits!  What's more out of 
    The Shire by your talk!  What business brings you to Bree?,
 ","Hobbits! Four hobbits!  What's more out of 
    The Shire by your talk!  What business brings you to Bree?,
 "
"FRODO:,We wish to at the Inn.  Our business is our own.,
 ","We wish to at the Inn.  Our business is our own.,
 "
"GATEKEEPER:, alright young sir, I 
    meant no offence. ,My job to ask questions after nightfall. There's talk of strange folk 
    abroad. Can't be too careful ,
 "," alright young sir, I 
    meant no offence. ,My job to ask questions after nightfall. There's talk of strange folk 
    abroad. Can't be too careful ,
 "
"MAN:,Out of the way! Watch where you're walking!,
 ","Out of the way! Watch where you're walking!,
 "
"FRODO:,Excuse me ? ,
 ","Excuse me ? ,
 "
"BARLIMAN:,Good Evening little masters.  What can I do for you ? 
    If you're looking for accomodation, we've got some nice, cosy hobbit sized 
    rooms available.  Always proud to cater to the little folk, Mr err... ?,
 ","Good Evening little masters.  What can I do for you ? 
    If you're looking for accomodation, we've got some nice, cosy hobbit sized 
    rooms available.  Always proud to cater to the little folk, Mr err... ?,
 "
"FRODO:, Underhill, my name's 
    Underhill,
 "," Underhill, my name's 
    Underhill,
 "
"BARLIMAN:,Underhill , yes..,
 ","Underhill , yes..,
 "
"FRODO:,We're friends of Gandalf the Grey. Can you tell him we've 
    arrived?,
 ","We're friends of Gandalf the Grey. Can you tell him we've 
    arrived?,
 "
"BARLIMAN:,Gandalf ?  ,Gandalf ? Oh yes!  I remember!  Elderly chap! Big grey 
    beard, pointy hat.  , Not seen 
    him for six months. ,
 ","Gandalf ?  ,Gandalf ? Oh yes!  I remember!  Elderly chap! Big grey 
    beard, pointy hat.  , Not seen 
    him for six months. ,
 "
"SAM:,What do we do now ?,
 ","What do we do now ?,
 "
"FRODO:,Sam. He'll be here.  He'll come.,
 ","Sam. He'll be here.  He'll come.,
 "
GAFFER:,"There's been some strange folk crossing the Shire. Dwarves, others of a 
    less than savoury nature ,
 "
NOAKES:," War's brewing.
    , The mountains are fair teeming with 
    goblins.,
 "
SANDYMAN:,"Children's stories that's all that is.  You're beginning to sound 
    like that old Bilbo Baggins! Cracked he was!,
 "
GAFFER:,"  
    Young Mr Frodo here, he's cracking!,
 "
FRODO:," and proud of 
    it! Cheers Gaffer!  ,
 "
GAFFER:,"Cheers,
 "
SANDYMAN:,"Well it's none of our concern what goes on beyond our borders. Keep your 
    nose out of trouble and no trouble will come to you. ,
 "
ROSIE:,"Good Night lads,
 "
HOBBIT:,"  Good 
    night, sweet maiden of the golden ale!,
 "
SAM:,"Oi Mind who you're sweet talking!,
 "
FRODO:,"Don't worry Sam, Rosie knows an idiot when she sees one!,
 "
SAM:," Does she ?,
 "
FRODO:,"  
    Good Night Sam ,
 "
GANDALF:,"Is it secret ? Is it safe ?,
 "
FRODO:,"Ha! , What are you 
    doing!,
 "
"PIPPIN:,What's that ?,
 ","What's that ?,
 "
"MERRY:,This my friend, is a pint! ,
 ","This my friend, is a pint! ,
 "
"PIPPIN:,It comes in pints ?,
 ","It comes in pints ?,
 "
"MERRY:,hmmmhmmm,
 ","hmmmhmmm,
 "
"PIPPIN:,I'm getting one!,
 ","I'm getting one!,
 "
"SAM:,You've had a whole half already!,
 ","You've had a whole half already!,
 "
"SAM:,That fellow's done nothing but stare at you since we 
    arrived! ,
 ","That fellow's done nothing but stare at you since we 
    arrived! ,
 "
"FRODO:, 
    Excuse me. That man in the corner.  Who is he ?,
 "," 
    Excuse me. That man in the corner.  Who is he ?,
 "
"BARLIMAN:,He's one of them rangers. They're dangerous folk they are.  
    Wandering the wilds.  What his right name is, I've never heard, but 
    round here, he's known as Strider.,
 ","He's one of them rangers. They're dangerous folk they are.  
    Wandering the wilds.  What his right name is, I've never heard, but 
    round here, he's known as Strider.,
 "
"FRODO:,Strider,
 ","Strider,
 "
"RING:,Baggins.... Baggins.... Baggins ....Baggins!  Baggins!,
 ","Baggins.... Baggins.... Baggins ....Baggins!  Baggins!,
 "
"PIPPIN:,Baggins ?  Sure I know a Baggins!  He's over 
    there.  Frodo Baggins! He's my second cousin once removed on his 
    mother's side , and my 
    third cousin twice removed on his father's side, if you follow me. ,
 ","Baggins ?  Sure I know a Baggins!  He's over 
    there.  Frodo Baggins! He's my second cousin once removed on his 
    mother's side , and my 
    third cousin twice removed on his father's side, if you follow me. ,
 "
GANDALF:,"  
    Hold out your hand Frodo. Its quite cool.  ,  What can you see ?
    , Can you see anything ?,
 "
FRODO:," Nothing. 
    There's nothing , Wait. There are 
    markings ,  Its some form of Elvish.  I can't 
    read it,
 "
GANDALF:,"There are few who can. The language is that of Mordor, which 
    I will not utter here. ,
 "
FRODO:,"Mordor!,
 "
GANDALF:,In the common tongue it says
"FRODO:,Pippin!,
 ","Pippin!,
 "
"PIPPIN:,Steady on!,
 ","Steady on!,
 "
"MEN:,Oh!,
 ","Oh!,
 "
"SAURON VOICE:,You cannot hide!  , I see you!
    ,There 
    is no life in the void , Only death!,
 ","You cannot hide!  , I see you!
    ,There 
    is no life in the void , Only death!,
 "
"STRIDER:,You draw far too much attention to yourself Mr Underhill!,
 ","You draw far too much attention to yourself Mr Underhill!,
 "
"FRODO:,What do you want ?,
 ","What do you want ?,
 "
"STRIDER:,A little more caution from you!  That is no trinket 
    you carry!,
 ","A little more caution from you!  That is no trinket 
    you carry!,
 "
"FRODO:,I carry nothing,
 ","I carry nothing,
 "
"STRIDER:,Indeed , I can avoid being seen if I wish.  
    But to disappear entirely ,
    That is a rare gift!,
 ","Indeed , I can avoid being seen if I wish.  
    But to disappear entirely ,
    That is a rare gift!,
 "
"FRODO:,Who are you ?,
 ","Who are you ?,
 "
"STRIDER:,Are you frightened?,
 ","Are you frightened?,
 "
"FRODO:, Yes,
 "," Yes,
 "
BILBO:,"Hello, Hello, Fatty Bolger , Lovely to see you, Welcome, Welcome,
 "
FRODO:," Go 
    on Sam, ask Rosie for a dance.,
 "
SAM:,"  Ah, I 
    think I'll just have another ale. ,
 "
FRODO:,"Oh no you dont , Go on
    ,
 "
BILBO:," So there I was at the mercy of three monstrous trolls and 
    they were all arguing amongst themselves about how they were going to cook 
    us. Whether it be turned on a spit or whether they should sit on us one by 
    one and squash us into jelly. , They 
    spent so much time arguing the witherto's and whyfor's that the sun's first 
    light cracked open over the top of the trees.  Poof!
    , and turned them all into 
    stone!,
 "
MERRY:,"Quickly ,
 "
MERRY:,"No no! the big one, big one!,
 "
GALADRIEL VOICE OVER:,"I amar prestar aen ,
    Han mathon ne nen ,
    Han mathon ne chae ,
    A han noston ned gwilith ,
    Much that once was is lost. For none now live who remember it."
GALADRIEL VOICE OVER:,"It began with the forging of the Great Rings. ,
 "
"STRIDER:,Not nearly frightened enough. I know what hunts you. ,
 ","Not nearly frightened enough. I know what hunts you. ,
 "
"SAM:,Let him 
    go!  Or I'll have you Longshanks!,
 ","Let him 
    go!  Or I'll have you Longshanks!,
 "
"STRIDER:, You have a 
    stout heart little hobbit! But that will not save you.  You can no 
    longer wait for the wizard Frodo. They're coming,
 "," You have a 
    stout heart little hobbit! But that will not save you.  You can no 
    longer wait for the wizard Frodo. They're coming,
 "
"FRODO:,What are they ?,
 ","What are they ?,
 "
