char,dialog,movie
DEAGOL:,"Oh Smeagol Ive got one! , Ive got a fish Smeagol, Smeagol!
    ",The Return of the King Movie Script
SMEAGOL:,"Pull it in! Go on, go on, go on, pull it in! ,
 ",The Return of the King Movie Script
DEAGOL:,Arrghh! ,The Return of the King Movie Script
SMEAGOL:,"Deagol! ,
 ",The Return of the King Movie Script
SMEAGOL: ,"Deagol! ,
 ",The Return of the King Movie Script
SMEAGOL:,"Deagol! ,
 ",The Return of the King Movie Script
SMEAGOL:,"Give us that! Deagol my love ,
 ",The Return of the King Movie Script
DEAGOL:,"Why? ,
 ",The Return of the King Movie Script
SMEAGOL:,"Because� , it�s my birthday and I 
wants it. ,
 ",The Return of the King Movie Script
SMEAGOL:," My precious. ,
 ",The Return of the King Movie Script
SMEAGOL: ,"They cursed us,
 ",The Return of the King Movie Script
(GOLLUM: ,"Murderer),
 ",The Return of the King Movie Script
SMEAGOL: ,"�Murderer� they called us. They cursed us and drove us away.
    ",The Return of the King Movie Script
SMEAGOL:,"Gollum� Gollum� Gollum� , and we wept 
precious. We wept to be so alone. ,
 ",The Return of the King Movie Script
SMEAGOL:,"and cool, so nice for feet� and we only wish to catch a fish
    , so juicy sweet. ,
 ",The Return of the King Movie Script
SMEAGOL:,"And we forgot the taste of bread, the sound of trees and the softness of 
    the wind. We even forgot our own name. ,
 ",The Return of the King Movie Script
"
FRODO:","
    Gandalf? ,
       ",The Return of the King Movie Script
"
FRODO:","
    Oooohhh! ",The Return of the King Movie Script
"
MERRY:","
    Frodo! ,
 ",The Return of the King Movie Script
"
GIMLI:","
    Aaaahh! ,
 ",The Return of the King Movie Script
"
FRODO:","
    Gimli! ,
 ",The Return of the King Movie Script
GOLLUM:,"My precious!,
    ",The Return of the King Movie Script
GOLLUM:,"Wake up! , Wake up! 
    ,Wake up sleepies! We 
must go, yes, we must go at once. ,
 ",The Return of the King Movie Script
SAM:,"Haven�t you had any sleep Mr Frodo? ,
 ",The Return of the King Movie Script
SAM: ,"And I�ve gone and had too much. , 
It must be getting late. ,
 ",The Return of the King Movie Script
FRODO:,"No, it isn�t. It isn�t midday yet. , The days are 
growing darker. ,
 ",The Return of the King Movie Script
GOLLUM:,"Come on! Must go! No time! ,
 ",The Return of the King Movie Script
SAM:,"Not before Mr Frodo�s had something to eat. ,
 ",The Return of the King Movie Script
GOLLUM: ,"No time to lose silly! ,
 ",The Return of the King Movie Script
SAM:,"Here.,
 ",The Return of the King Movie Script
FRODO:,"What about you? ,
 ",The Return of the King Movie Script
SAM:,"Oh no, I�m not hungry, leastways not for lembas bread. ,
 ",The Return of the King Movie Script
FRODO:,"Sam! ,
 ",The Return of the King Movie Script
"
FRODO: ","
    Aragorn! ,
 ",The Return of the King Movie Script
"
GANDALF:","
    Now come the days of the King. May they be blessed.,
 ",The Return of the King Movie Script
"
ARAGORN:","
    This day does not belong to one man, but to all. Let us together rebuild 
    this world, that we may share in the days of peace. ,
 ",The Return of the King Movie Script
"
ARAGORN:","
    Et E�rello Endorenna ut�lien. Sinome maruvan ar Hildinyar tenn� Ambar-metta!
    ,
 ",The Return of the King Movie Script
"
ARAGORN:","
    Hannon le. ",The Return of the King Movie Script
"
ARAGORN:","
    My friends, , you bow to 
    no-one. ,
 ",The Return of the King Movie Script
"
FRODO: ","
    ,And thus 
    it was a Fourth Age of Middle Earth began. And the Fellowship of the Ring, 
    though eternally bound by friendship and love was ended.
    ,
    ,
    Thirteen months to the day since Gandalf sent us on our long journey we find 
    ourselves looking upon a familiar sight. ,
 ",The Return of the King Movie Script
"
FRODO: ","
    We were home. ,
 ",The Return of the King Movie Script
"
PIPPIN: ","
    Alright! ,
 ",The Return of the King Movie Script
"
HOBBIT:","
    Hey watch the pumpkin.,
 ",The Return of the King Movie Script
"
ROSIE:","
    Goodnight lads. ,
 ",The Return of the King Movie Script
SAM: ,"Oh alright, but we don�t have that much left. We have to be careful or 
    we are going to run out. You go ahead and eat that Mr Frodo. I�ve rationed 
    it, there should be enough. ,
 ",The Return of the King Movie Script
FRODO: ,"For what? ,
 ",The Return of the King Movie Script
SAM: ,"The journey home. ,
 ",The Return of the King Movie Script
GOLLUM: ,"Come Hobbitses, very close now. Very close to Mordor. No safe places 
here. Hurry. ,
 ",The Return of the King Movie Script
MERRY:,"It�s good. Definitely from the Shire. ,Longbottom leaf eh? ,
 ",The Return of the King Movie Script
PIPPIN:,"uhh huh , I feel 
like I�m back at the Green Dragon. ,
 ",The Return of the King Movie Script
MERRY: ,"Mmmm , Green Dragon! ,
 ",The Return of the King Movie Script
PIPPIN:,"A mug of ale in my hand. Putting my feet up on a settle after a hard 
    day�s work. ,
 ",The Return of the King Movie Script
MERRY:,"Only, , you�ve never done a hard day�s work.
    ,
 ",The Return of the King Movie Script
PIPPIN:,Ahaha! ,The Return of the King Movie Script
MERRY: ,"Welcome, my lords to Isengard! ,
 ",The Return of the King Movie Script
GIMLI:,"You young rascals. A merry hunt you�ve led us on and now we find you 
    feasting and � and smoking! ,
 ",The Return of the King Movie Script
"
PIPPIN:","
    Hmm? ,
 ",The Return of the King Movie Script
"
FRODO:","
    How do you pick up the threads of an old life? How do you go on, when in 
    your heart you begin to understand there is no going back? There are some 
    things that time cannot mend. Some hurts that go too deep, that have taken 
    hold.,
 ",The Return of the King Movie Script
"
SAM: ","
    Mr Frodo? What is it? ,
 ",The Return of the King Movie Script
"
FRODO:","
    It�s been four years to the day since Weathertop Sam. It�s never really 
    healed. ,
 ",The Return of the King Movie Script
"
SAM:","
    , There and Back Again, a Hobbits tale 
    by Bilbo Baggins and the Lord of the Rings by Frodo Baggins. You finished 
    it.,
 ",The Return of the King Movie Script
"
FRODO:","
    Not quite. There�s room for a little more. ,
 ",The Return of the King Movie Script
"
FRODO:","
    Bilbo once told me his part in this tale would end. That each of us must 
    come and go in the telling. Bilbo�s story was now over. There would be no 
    more journeys for him. , save one. ,
 ",The Return of the King Movie Script
"
BILBO:","
    Tell me again lad, where are we going?,
 ",The Return of the King Movie Script
"
FRODO:","
    To the harbour Bilbo. The elves have accorded you a special honour. A place 
    on the last ship to leave Middle Earth. ,
 ",The Return of the King Movie Script
"
BILBO:","
    Frodo, any chance of seeing that old Ring of mine again? The one I gave you?,
 ",The Return of the King Movie Script
