,Unnamed: 0,Unnamed: 0.1,birth,death,gender,hair,height,name,race,realm,spouse
181,181,181,TA 2904,TA 3004,Female,,,Gerda (Boffin) Bolger,Hobbits,,Adalbert Bolger
375,375,375,TA 2790,TA 2920,Male,,,Gerontius Took,Hobbits,,Adamanta Chubb
293,293,293,FA 339,,Male,,,Belemir,Men,,Adanel
208,208,208,Around FA 450 ,,Female,,,Meleth,Men,,Agathor
127,127,127,"Sometime before ,SA 799",,Male,,,Orchaldor,Men,,Ailinel
19,19,19,SA 543,SA 942,Male,,,Tar-Meneldur,Men,Númenor,Almarian
31,31,31,YT 1190,FA 455,Male,Dark,,Fingolfin,Elves,"Hithlum,Beleriand",Anairë
107,107,107,YT,,Female,,,Eldalótë,Elves,,Angrod
59,59,59,"Late ,Second Age",,Female,,,Inzilbêth,Men,,Ar-Gimilzôr
14,14,14,SA 3117,SA 3319,Female,,,Tar-Míriel,Men,Númenor,Ar-Pharazôn
415,415,415,TA 241,FO 121,Female,Black,,Arwen,"Half-elven,Men",Reunited Kingdom,Aragorn II Elessar
236,236,236,TA 2907,TA 3007,Female,Blonde (film),"Unknown (book) 1.66m (5'5"") (film)",Gilraen,Men,,Arathorn II
80,80,80,YT,FA 400,Male,Dark,Tall,Eöl,Elves,Nan Elmoth,Aredhel
336,336,336,TA 1896,,Female,,,Fíriel,Men,Arthedain,Arvedui
442,442,442,"March 1 ,2931",FO 120,Male,Dark,"198cm (6'6"")",Aragorn II Elessar,Men,"Reunited Kingdom,Arnor,Gondor",Arwen
48,48,48,,,Male,,,Rufus Burrows,Hobbit,,Asphodel Brandybuck
166,166,166,"Before the creation of ,Arda",Immortal,Female,,Varies,Yavanna,Ainur,Pastures of Yavanna,Aulë
406,406,406,TA 2772,TA 2871,Female,,,Berylla (Boffin) Baggins,Hobbits,,Balbo Baggins
97,97,97,FA 406,,Female,,,Emeldir,Men,,Barahir
49,49,49,SR 1255,SR 1348,Male,,,Rudigar Bolger,Hobbits,Bree,Belba Baggins
50,50,50,TA 2849,"Late ,Third Age",Male,,,Rowan Greenhand,Hobbits,Shire,Hob Gammidge
144,144,144,FA 441,FA 495,,,,Handir,Men,Brethil,Beldis
0,0,0,,,Female,,,Adanel,Men,,Belemir
330,330,330,TA 2926,FO 7 (SR 1428),Male,"Brown, later gray","1.2m (3'11"")",Hamfast Gamgee,Hobbit,,Bell Goodchild
131,131,131,"Early ,Second Age",,Female,,,Núneth,Men,,Beregar
319,319,319,YT 1200,FA 503,Female,Black,,Lúthien,"Elves,Maiar",,Beren Erchamion
9,9,9,TA 654,TA 913,Male,,,Tarannon Falastur,Men,Gondor,Berúthiel
408,408,408,TA 2767,TA 2858,Male,,,Balbo Baggins,Hobbits,,Berylla (Boffin) Baggins
366,366,366,TA 2865,,Female,,,Primrose Bracegirdle,Hobbits,,Blanco Bracegirdle
462,462,462,"Mid ,First Age",FA 495,Female,,,Aerin,Men,,Brodda
178,178,178,"Late ,Third Age",Late Third Age ,Female,,,Ivy (Goodenough) Boffin,Hobbits,,Buffo Boffin
407,407,407,TA 2852,TA 2934,Female,Black,,Belladonna (Took) Baggins,Hobbits,,Bungo Baggins
398,398,398,TA 2860,TA 2950,Male,,,Longo Baggins,Hobbits,,Camellia (Sackville) Baggins
333,333,333,YT 1362,"Still alive: Departed over the sea on ,September 29 ,3021",Female,Golden,Tall,Galadriel,Elves,"Eregion,Lothlórien,Caras Galadhon",Celeborn
100,100,100,FA 532,"Still alive; departed to ,Aman, on ,September 29 ,3021",Male,Dark,Tall,Elrond,Half-elven,Rivendell,Celebrían
224,224,224,TA 2862,,Female,,,Rose Greenhand,Hobbits,,Cotman Cotton
180,180,180,TA 2946,,Male,,,Griffo Boffin,Hobbits,,Daisy Baggins
32,32,32,TA 2950,TA 2988,Female,Dark,,Finduilas of Dol Amroth,Men,,Denethor II
372,372,372,TA 2990,FO 65,Male,Almost golden,"1.34m (4'5"")",Peregrin Took,Hobbits,,Diamond of Long Cleeve
195,195,195,"Unknown, possibly sometime during the ,Years of the Trees",FA 506,Female,,,Nimloth (elf),Elves,Doriath,Dior Eluchíl
53,53,53,TA 2857,TA 2929,Female,Brown (film),,Ivorwen,Men,,Dírhael
179,179,179,TA 2854,TA 2945,Male,,,Hugo Boffin,Hobbits,,Donnamira Took
356,356,356,TA 2920,TA 2980,Female,,,Primula (Brandybuck) Baggins,Hobbits,,Drogo Baggins
98,98,98,FA 503,Still Alive,Female,Dark,,Elwing,Half-elven,,Eärendil
34,34,34,YT 1230,Still Alive,Male,Golden,,Finarfin,Elves,Tirion,Eärwen
373,373,373,TA 2933,FO 13,Male,,,Paladin Took II,Hobbits,,Eglantine Banks
225,225,225,"Late ,First Age",FA 460,Male,,,Gorlim,"Men,Wraith",,Eilinel
40,40,40,SA 521,,Female,,,Silmariën,Men,,Elatan
3,3,3,YT,FA 455,Male,Golden,,Angrod,Elves,,Eldalótë
282,282,282,YT 1300,FA 510,Male,Dark,,Turgon,Elves,"Nevrast,Gondolin",Elenwë
384,384,384,"TA 2948 ,Gondor","March 15 ,3019",Male,White with braids (book) Blonde (films),Tall,Théoden,Men,,Elfhild
250,250,250,"Between the years ,SA 350, and SA 400","Still alive; Departed to ,Aman, in ,TA 2510",Female,Possibly silver,,Celebrían,Elves,,Elrond
87,87,87,FA 503,Still Alive,Male,Golden,,Eärendil,Half-elven,,Elwing
305,305,305,FA 402,FA 460,Male,Possibly dark,,Barahir,Men,,Emeldir
95,95,95,"Unknown, Awakened in the ,Years of the Trees",,Female,,,Enelyë,Elves,,Enel
96,96,96,"Unknown, Awakened in the Years of the Trees",,Male,,,Enel,Elves,,Enelyë
423,423,423,YT 1362,FA 400,Female,Dark,Tall,Aredhel,Elves,,Eöl
322,322,322,TA 2999,,Female,,,Lothíriel,Men,Rohan,Éomer
38,38,38,TA 2983,"February 26 ,82",Male,Raven,,Faramir,Men,Minas Ithil,Éowyn
28,28,28,SA 700,SA 1098,Male,,,Tar-Aldarion,Men,Númenor,Erendis
58,58,58,"Before the creation of ,Arda",Immortal,Male,,,Irmo,Ainur,,Estë
359,359,359,TA 2982,FO 65,Male,Golden yellow (film),"1.38m (4'6"")",Meriadoc Brandybuck,Hobbit,,Estella (Bolger) Brandybuck
92,92,92,TA 2995,FO,Female,Pale gold,Tall,Éowyn,Men,,Faramir
241,241,241,"Late ,Third Age",,Female,,,Lily Cotton,Hobbits,,Farmer Cotton
328,328,328,March 253021,"Early ,Fourth Age",Female,Blonde or Golden,,Elanor Gardner,Hobbits,,Fastred of Greenholm
197,197,197,"YT, during the ,Noontide of Valinor",Still alive,Female,Reddish brown,,Nerdanel,Elves,,Fëanor
287,287,287,YT,,Male,"Leaf, twig and moss like",15'4,Treebeard,"Ents,Onodrim",,Fimbrethil
81,81,81,Years of the Trees,Still alive,Female,Star-like ,,Eärwen,Elves,,Finarfin
159,159,159,TA 2930,"March 15 ,3019",Male,"Dark, grey (in old age)",,Denethor II,Men,,Finduilas
450,450,450,YT,,Female,,,Anairë,Elves,,Fingolfin
62,62,62,,Still Alive,Female,Golden,Tall,Indis,Elves,Tirion,Finwë
201,201,201,,YT 1170,Female,Silver,,Míriel,Elves,,Finwë
419,419,419,TA 1864,TA 1975,Male,,,Arvedui,Men,Arthedain,Fíriel
252,252,252,YT,"Still alive, departed over the sea in the early Fourth Age",Male,Silver,Tall,Celeborn,Elves,"Eregion,Lothlórien,Caras Galadhon",Galadriel
143,143,143,FA 419,,Female,,,Hareth,Men,,Galdor
377,377,377,TA 2817,TA 2923,Female,,,Adamanta (Chubb) Took,Hobbits,,"Gerontius ""The Old"" Took"
151,151,151,FA 390,FA 455,Male,Golden,,Hador,Men,,Gildis
428,428,428,TA 2873,TA 2933,Male,Dark (film),,Arathorn II,Men,,Gilraen
150,150,150,FA 413,FA 473,Male,,,Haldir (Haladin),Men,,Glóredhel
168,168,168,"Unknown, before the coming of Melkor","Unknown, possibly immortal",Male,Brown,,Tom Bombadil,,Old Forest,Goldberry
383,383,383,FO 10,FO 112,Male,,,Faramir Took I,Hobbits,,Goldilocks Gardner
357,357,357,TA 2860,TA 2960,Female,,,Mirabella (Took) Brandybuck,Hobbits,,Gorbadoc Brandybuck
111,111,111,"Mid ,First Age","Between ,FA 455, - ,FA 460",Female,,,Eilinel,Men,,Gorlim
