,birth,death,gender,hair,height,name,race,realm,spouse
0,TA 2978,"February 26 ,3019",Male,Dark (book) Light brown (movie),,Boromir,Men,,
1,TA 280,TA 515,Male,,,Tarcil,Men,Arnor,Unnamed wife
2,SA 2709,SA 2962,Male,,,Ar-Adûnakhôr,Men,Númenor,Unnamed wife
3,YT,FA 455,Male,Golden,,Angrod,Elves,,Eldalótë
4,SA 3219,SA 3440,Male,,,Anárion,Men,Gondor,Unnamed wife
5,SA 3118,Still alive,Male,,Tall,Ar-Pharazôn,Men,Númenor,Tar-Míriel
6,SA 2876,SA 3102,Male,,,Ar-Sakalthôr,Men,Númenor,Unnamed wife
7,SA 2960,SA 3177,Male,,,Ar-Gimilzôr,Men,Númenor,Inzilbêth
8,TA 2866,TA 2977,Male,,,Angelimir,Men,,Unnamed wife
9,TA 654,TA 913,Male,,,Tarannon Falastur,Men,Gondor,Berúthiel
10,SA 2277,SA 2637,Female,,,Tar-Vanimeldë,Men,Númenor,Herucalmo
11,SA 1320,SA 1731,Female,,,Tar-Telperiën,Men,Númenor,None
12,SA 2136,SA 2526,Male,,,Tar-Telemmaitë,Men,Númenor,Unnamed wife
13,SA 1174,SA 1574,Male,,,Tar-Súrion,Men,Númenor,Unnamed wife
14,SA 3035,SA 3255,Male,,,Tar-Palantir,Men,Númenor,Unnamed wife
15,SA 3117,SA 3319,Female,,,Tar-Míriel,Men,Númenor,Ar-Pharazôn
16,SA 1474,SA 1873,Male,,,Tar-Minastir,Men,Númenor,Unnamed wife
17,SA 350,SA 751,Male,,,Tar-Elendil,Men,Númenor,Unnamed wife
18,SA 2516,SA 2825,Male,,,Tar-Calmacil,Men,Númenor,Unnamed wife
19,SA 1800,SA 2221,Male,,,Tar-Atanamir,Men,Númenor,Unnamed wife
20,SA 543,SA 942,Male,,,Tar-Meneldur,Men,Númenor,Almarian
21,SA 2618,SA 2899,Male,,,Tar-Ardamin,Men,Númenor,Unnamed wife
22,SA 1634,SA 2035,Male,,,Tar-Ciryatan,Men,Númenor,Unnamed wife
23,SA 1003,SA 1404,Male,,,Tar-Anárion,Men,Númenor,Unnamed wife
24,SA 873,SA 1285,Female,,,Tar-Ancalimë,Men,Númenor,Hallacar
25,SA 1986,SA 2386,Male,,,Tar-Ancalimon,Men,Númenor,Unnamed wife
26,SA 192,SA 603,Male,,,Tar-Amandil,Men,Númenor,Unnamed wife
27,SA 2406,SA 2737,Male,,,Tar-Alcarin,Men,Númenor,Unnamed wife
28,SA 799,"Early ,Second Age",Male,,,Soronto,Men,,None
29,SA 700,SA 1098,Male,,,Tar-Aldarion,Men,Númenor,Erendis
30,"YT, and perhaps Firstborn",YT 1495,Male,Black,,Finwë,Elves,"Tirion,Formenos","Míriel Serindë then ,Indis"
31,YT 1300,FA 465,Male,Golden,,Finrod,Elves,,"Loved ,Amarië but they never married"
32,"YT during the ,Noontide of Valinor",FA 472,Male,Dark,,Fingon,Elves,Hithlum,
33,YT 1190,FA 455,Male,Dark,,Fingolfin,Elves,"Hithlum,Beleriand",Anairë
34,TA 2950,TA 2988,Female,Dark,,Finduilas of Dol Amroth,Men,,Denethor II
35,First Age,FA 495,Female,Golden,,Finduilas,Elves,,"None; betrothed to ,Gwindor, but never married."
36,Fourth Age,"sometime after ,FO 172",Male,,,Findegil,Men,,
37,YT 1230,Still Alive,Male,Golden,,Finarfin,Elves,Tirion,Eärwen
38,TA 2701,TA 2801,Male,,,Ferumbras Took II,Hobbits,,Unnamed wife
39,"Late ,Third Age","Early ,Fourth Age",Male,Brown (film),,Bill Ferny,Men,,
40,TA 2870,TA 2953,Male,,,Fengel,Men,Rohan,
41,"Late ,Third Age","March 15 ,3019",Male,,,Fastred (Pelennor Fields),Men,,
42,TA 2858,TA 2885,Male,,,Fastred,Men,,
43,TA 2560,TA 2803,Male,,,Farin,Dwarves,,Unnamed wife
44,"Mid ,Third Age",TA 1944,Male,,,Faramir (son of Ondoher),Men,,
45,TA 2983,"February 26 ,82",Male,Raven,,Faramir,Men,Minas Ithil,Éowyn
46,"Unknown, first appeared in ,TA 2770","November 1 ,TA 2941",Male,,,Smaug,Dragons,Lonely Mountain,
47,TA 570,TA 830,Male,,,Siriondil,Men,Gondor,Unnamed wife
48,"Unknown, possibly during the ,First Age","Unknown, possibly TA 3019",Female,,Large and immense,Shelob,Great Spiders,Torech Ungol,
49,"Before the creation of ,Arda","March 25 ,3019",Male,Various ,Various until ,Sauron,Maiar,,None
50,"Before the creation of ,Arda","3 November ,3019",Male,White,,Saruman,Maiar,"Isengard,Nan Curunír",None
51,Before the creation of Arda,Immortal,Male,,,Salmar,Ainur,,
52,SR 1308,SR 1407,Male,,,Saradas Brandybuck,Hobbits,,
53,TA 2920,FO 50,Male,,,Ted Sandyman,Hobbits,,
54,YT,FA 484,Male,,,Saeros,Elves,,
55,"about ,FA 430",FA 495,Male,,,Sador,Men,,None known
56,TA 2964,TA 3019,Male,Sandy,"1.22m (4'0"") ",Lotho Sackville-Baggins,Hobbits,,None
57,TA 2918,TA 3020,Female,,"1.17m (3'10"")",Lobelia Sackville-Baggins,Hobbit,,Otho Sackville-Baggins
58,TA 1126,TA 1366,Male,,,Rómendacil II,Men,Gondor,Unnamed wife
59,TA 310,TA 541,Male,,,Rómendacil I,Men,Gondor,Unnamed wife
60,FA 450,FA 473,Female,,,Rían,Men,,Huor
61,SR 1255,SR 1348,Male,,,Rudigar Bolger,Hobbits,Bree,Belba Baggins
62,TA 2849,"Late ,Third Age",Male,,,Rowan Greenhand,Hobbits,Shire,Belba Baggins
63,"Mid ,First Age",FA 460,Male,,,Ragnor,Men,,
64,"Late ,First Age",Late First Age ,Male,,,Ragnir,Men,,
65,"Late ,First Age",FA 460,Male,,,Radhruin,Men,,
66,"Before the creation of ,Arda",None,Male,Brown-gray (films),,Radagast,Maiar,,None
67,TA 2904,TA 3005,Male,Brown Gray (movie),,Odo Proudfoot,Hobbits,,Mrs. Proudfoot
68,TA 2857,TA 2929,Female,Brown (film),,Ivorwen,Men,,Dírhael
69,"After ,SA 1320","Before ,SA 1731",Male,,,Isilmo,Men,,Unnamed wife
70,SA 3209,TA 2,Male,Black,Very tall almost 7'1,Isildur,Men,"Arnor,Gondor",Unnamed wife
71,TA 2832,TA 2930,Male,,,Isengrim Took III,Hobbits,,Not married
72,TA 2842,TA 2946,Male,,,Isembold Took,Hobbits,,Unnamed wife 
73,"Before the creation of ,Arda",Immortal,Male,,,Irmo,Ainur,,Estë
74,"b. ,TA 2990","Early-,Fourth Age",Male,,,Iorlas,Men,,
75,YT,"Unknown, probably still alive",Male,Probably Golden,,Ingwion,Elf,,
76,"YT, and perhaps firstborn",Still Alive,Male,Probably Golden,Tall,Ingwë,Elves,"Valinor,Taniquetil",Unnamed wife
77,"Late ,Third Age","Early ,Fourth Age",Male,,,Ingold,Men,,
78,"Mid ,First Age",FA 495,Male,,,Indor,Men,,Unnamed wife
79,TA 1950,TA 2076,Male,,,Imrazôr,Men,,Mithrellas
80,TA 2955,FO 34,Male,Black,Tall,Imrahil,Men,,Unnamed wife
81,around FA 325,First Age,Male,,,Imlach,Men,,Unnamed wife
82,YT 1469,Still Alive,Female,Golden,Tall,Idril,Elves,,Tuor
83,"Mid-,Third Age","Mid-,Third Age",Male,,,Húrin of Emyn Arnen,Men,,
84,TA 2515,TA 2628,Male,,,Húrin II,Men,,Unnamed wife
85,TA 2124,TA 2244,Male,,,Húrin I,Men,,Unnamed wife
86,FA 441,FA 502,Male,"Golden, grey (in old age)",,Húrin,Men,,Morwen Eledhwen
