	birth	death	gender	hair	height	name	race	realm	spouse
324	FA 262	FA 355	Male			Bëor	Men		Unnamed wife
269	FA 282	FA 376	Male			Marach	Men		Unnamed wife
369	FA 289	FA 380	Male			Baran	Men	Estolad	Unnamed wife
379	FA 307	FA 398	Male			Malach	Men		Meldis
99	Before CA	FA 400	Male	Dark	Tall	Eöl	Elves	Nan Elmoth	Aredhel
513	Before CA	FA 400	Female	Dark	Tall	Aredhel	Elves		Eöl
183	FA 341	FA 420	Female			Haleth	Men		None
444	FA 338	FA 432	Male			Boromir (House of Bëor)	Men		Unnamed wife
33	Before CA	FA 455	Male	Dark		Fingolfin	Elves	"Hithlum,Beleriand"	Anairë
552	Before CA	FA 455	Male	Golden		Aegnor	Elves		"Loved ,Andreth but remained unmarried"
535	FA 361	FA 455	Female	Dark brown		Andreth	Men		"Loved ,Aegnor, but they never married"
186	FA 390	FA 455	Male	Golden		Hador	Men		Gildis
371	FA 402	FA 460	Male	Possibly dark		Barahir	Men		Emeldir
372	FA 420	FA 460	Male			Baragund	Men		Unnamed wife
402	FA 417	FA 462	Male		Tall	Galdor	Men		Hareth
31	Before CA	FA 465	Male	Golden		Finrod	Elves		"Loved ,Amarië but they never married"
318	Before CA	FA 466	Male	Black with red stripes	Gigantic	Carcharoth	Werewolves	Angband	
240	FA 432	FA 466	Male	Dark	Tall	Beren	Men		Lúthien Tinúviel
395	FA 466	FA 469	Female	Blonde		Lalaith	Men		
496	FA 214	FA 473	Male			Azaghâl	Dwarves		
184	FA 413	FA 473	Male			Haldir (Haladin)	Men		Glóredhel
291	FA 415	FA 473	Female	Blonde		Glóredhel	Men		Haldir
91	FA 442	FA 473	Male	Golden	Tallest of all mortal men save his son Tuor only	Huor	Men		Rían
60	FA 450	FA 473	Female			Rían	Men		Huor
54	Before CA	FA 484	Male			Saeros	Elves		
534	FA 440	FA 489	Male			Andróg	Men		Unnamed wife
55	FA 430	FA 495	Male			Sador	Men		None known
177	FA 441	FA 495				Handir	Men	Brethil	Beldis
155	Before CA	FA 495 	Male	Golden		Orodreth	Elves	Nargothrond	Unnamed wife
353	FA 464	FA 499	Male	Dark	Tall	Túrin	Men		Nienor
242	FA 473	FA 499	Female	Golden	Tall	Niënor	Men		Túrin Turambar
255	FA 443	FA 500	Female	"Dark, grey in old age"	Tall	Morwen	Men		Húrin Thalion
176	FA 470	FA 501	Male			Hardang	Men		None
475	Before CA	FA 502	Male	Silver	"Tallest of the Elven-folk, 8'2"""	Thingol	Elves	Doriath	Melian
86	FA 441	FA 502	Male	"Golden, grey (in old age)"		Húrin	Men		Morwen Eledhwen
384	Before CA	FA 503	Female	Black		Lúthien	"Elves,Maiar"		Beren Erchamion
312	"Before the creation of ,Arda"	FA 506	Male	Fair		Celegorm	Elves		None
207	"Before the creation of ,Arda"	FA 506	Male	Dark		Curufin	Elves	Himlad	Unnamed wife
319	"Before the creation of ,Arda"	FA 506	Male	Dark		Caranthir	Elves		Unnamed wife
120	FA 500	FA 506	Male	Possibly dark		Eluréd and Elurín	Elves		
197	FA 470	"FA 506, "	Male	Possibly dark		Dior	Half-elven	Doriath	Nimloth
284	Before CA	FA 510	Male			Gothmog	"Maiar,Balrogs"		
355	Before CA	FA 510	Male	Dark		Turgon	Elves	"Nevrast,Gondolin"	Elenwë
382	FA 320	FA 510	Male	Black	Tall	Maeglin	Elves		None
539	Before CA	FA 538	Male	Dark red		Amras	Elf	Estolad	None
383	"Before the creation of ,Arda"	FA 587	Male	Dark red	Tall	Maedhros	Elves		None
159	TA 2923	FO 10	Male			Old Noakes	Hobbits		Unnamed wife
220	TA 2935	FO 10	Male			Odovacar Bolger	Hobbits		Rosamunda Took
124	FO 8	FO 103	Male			Elfwine	Men	Rohan	
461	FO 10	FO 112	Male			Faramir Took I	Hobbits		Goldilocks Gardner
297	TA 2879	FO 120	Male	Auburn		Gimli	Dwarves		
529	TA 2931	FO 120	Male	Dark	"198cm (6'6"")"	Aragorn II Elessar	Men	"Reunited Kingdom,Arnor,Gondor"	Arwen
502	TA 241	FO 121	Female	Black		Arwen	"Half-elven,Men"	Reunited Kingdom	Aragorn II Elessar
447	TA 2933	FO 13	Male			Paladin Took II	Hobbits		Eglantine Banks
472	TA 2866	FO 137	Male			Thorin III Stonehelm	Dwarves	"Lonely Mountain,Iron Hills"	
293	TA 2783	FO 15	Male	"Red, later White"		Glóin	Dwarves		Unnamed wife
367	TA 2985	FO 17	Male		"6'2"""	Bard II	Men	"Dale,Lake-town"	
453	TA 2928	FO 2	Male			Adelard Took	Hobbits		Unnamed wife
302	TA 2941	FO 20	Male			Tolman Cotton	Hobbits		Lily Brown
223	TA 2942	FO 22	Male	Brown (movie)		Filibert Bolger	Hobbits		Poppy Chubb-Baggins
131	FO 43	FO 220	Male	Dark		Eldarion	Men	"Reunited Kingdom,Arnor,Gondor"	
126	TA 2985	FO 23	Male	Dark		Elfhelm	Men		
433	TA 2983	FO 27	Female	Dark Brown		Mentha Brandybuck	Hobbits		
