,Unnamed: 0,birth,death,gender,hair,height,name,race,realm,spouse,birth_y,death_y,lifelong_y
0,3,FA 307,FA 398,Male,,,Malach,Men,,Meldis,307,398,91
1,4,Before CA,FA 400,Male,Dark,Tall,Eöl,Elves,Nan Elmoth,Aredhel,-1,400,401
2,5,Before CA,FA 400,Female,Dark,Tall,Aredhel,Elves,,Eöl,-1,400,401
3,6,FA 341,FA 420,Female,,,Haleth,Men,,None,341,420,79
4,7,FA 338,FA 432,Male,,,Boromir (House of Bëor),Men,,Unnamed wife,338,432,94
5,8,Before CA,FA 455,Male,Dark,,Fingolfin,Elves,"Hithlum,Beleriand",Anairë,-1,455,456
6,9,Before CA,FA 455,Male,Golden,,Aegnor,Elves,,"Loved ,Andreth but remained unmarried",-1,455,456
7,10,FA 361,FA 455,Female,Dark brown,,Andreth,Men,,"Loved ,Aegnor, but they never married",361,455,94
8,11,FA 390,FA 455,Male,Golden,,Hador,Men,,Gildis,390,455,65
9,12,FA 402,FA 460,Male,Possibly dark,,Barahir,Men,,Emeldir,402,460,58
10,13,FA 420,FA 460,Male,,,Baragund,Men,,Unnamed wife,420,460,40
11,14,FA 417,FA 462,Male,,Tall,Galdor,Men,,Hareth,417,462,45
12,15,Before CA,FA 465,Male,Golden,,Finrod,Elves,,"Loved ,Amarië but they never married",-1,465,466
13,16,Before CA,FA 466,Male,Black with red stripes,Gigantic,Carcharoth,Werewolves,Angband,,-1,466,467
14,17,FA 432,FA 466,Male,Dark,Tall,Beren,Men,,Lúthien Tinúviel,432,466,34
15,18,FA 466,FA 469,Female,Blonde,,Lalaith,Men,,,466,469,3
16,19,FA 214,FA 473,Male,,,Azaghâl,Dwarves,,,214,473,259
17,20,FA 413,FA 473,Male,,,Haldir (Haladin),Men,,Glóredhel,413,473,60
18,21,FA 415,FA 473,Female,Blonde,,Glóredhel,Men,,Haldir,415,473,58
19,22,FA 442,FA 473,Male,Golden,Tallest of all mortal men save his son Tuor only,Huor,Men,,Rían,442,473,31
20,23,FA 450,FA 473,Female,,,Rían,Men,,Huor,450,473,23
21,24,Before CA,FA 484,Male,,,Saeros,Elves,,,-1,484,485
22,25,FA 440,FA 489,Male,,,Andróg,Men,,Unnamed wife,440,489,49
23,26,FA 430,FA 495,Male,,,Sador,Men,,None known,430,495,65
24,27,FA 441,FA 495,,,,Handir,Men,Brethil,Beldis,441,495,54
25,28,Before CA,FA 495 ,Male,Golden,,Orodreth,Elves,Nargothrond,Unnamed wife,-1,495,496
26,29,FA 464,FA 499,Male,Dark,Tall,Túrin,Men,,Nienor,464,499,35
27,30,FA 473,FA 499,Female,Golden,Tall,Niënor,Men,,Túrin Turambar,473,499,26
28,31,FA 443,FA 500,Female,"Dark, grey in old age",Tall,Morwen,Men,,Húrin Thalion,443,500,57
29,32,FA 470,FA 501,Male,,,Hardang,Men,,None,470,501,31
30,33,Before CA,FA 502,Male,Silver,"Tallest of the Elven-folk, 8'2""",Thingol,Elves,Doriath,Melian,-1,502,503
31,34,FA 441,FA 502,Male,"Golden, grey (in old age)",,Húrin,Men,,Morwen Eledhwen,441,502,61
32,35,Before CA,FA 503,Female,Black,,Lúthien,"Elves,Maiar",,Beren Erchamion,-1,503,504
33,36,Before CA,FA 506,Male,Fair,,Celegorm,Elves,,None,-1,506,507
34,37,Before CA,FA 506,Male,Dark,,Curufin,Elves,Himlad,Unnamed wife,-1,506,507
35,38,Before CA,FA 506,Male,Dark,,Caranthir,Elves,,Unnamed wife,-1,506,507
36,39,FA 500,FA 506,Male,Possibly dark,,Eluréd and Elurín,Elves,,,500,506,6
37,40,FA 470,FA 506,Male,Possibly dark,,Dior,Half-elven,Doriath,Nimloth,470,506,36
38,41,Before CA,FA 510,Male,,,Gothmog,"Maiar,Balrogs",,,-1,510,511
39,42,Before CA,FA 510,Male,Dark,,Turgon,Elves,"Nevrast,Gondolin",Elenwë,-1,510,511
40,43,FA 320,FA 510,Male,Black,Tall,Maeglin,Elves,,None,320,510,190
41,44,Before CA,FA 538,Male,Dark red,,Amras,Elf,Estolad,None,-1,538,539
42,45,Before CA,FA 587,Male,Dark red,Tall,Maedhros,Elves,,None,-1,587,588
43,46,TA 2923,FO 10,Male,,,Old Noakes,Hobbits,,Unnamed wife,6973,7081,108
44,47,TA 2935,FO 10,Male,,,Odovacar Bolger,Hobbits,,Rosamunda Took,6985,7081,96
45,48,FO 8,FO 103,Male,,,Elfwine,Men,Rohan,,7079,7174,95
46,49,FO 10,FO 112,Male,,,Faramir Took I,Hobbits,,Goldilocks Gardner,7081,7183,102
47,50,TA 2879,FO 120,Male,Auburn,,Gimli,Dwarves,,,6929,7191,262
48,51,TA 2931,FO 120,Male,Dark,"198cm (6'6"")",Aragorn II Elessar,Men,"Reunited Kingdom,Arnor,Gondor",Arwen,6981,7191,210
49,52,TA 241,FO 121,Female,Black,,Arwen,"Half-elven,Men",Reunited Kingdom,Aragorn II Elessar,4291,7192,2901
50,53,TA 2933,FO 13,Male,,,Paladin Took II,Hobbits,,Eglantine Banks,6983,7084,101
51,54,TA 2866,FO 137,Male,,,Thorin III Stonehelm,Dwarves,"Lonely Mountain,Iron Hills",,6916,7208,292
52,55,TA 2783,FO 15,Male,"Red, later White",,Glóin,Dwarves,,Unnamed wife,6833,7086,253
53,56,TA 2985,FO 17,Male,,"6'2""",Bard II,Men,"Dale,Lake-town",,7035,7088,53
54,57,TA 2928,FO 2,Male,,,Adelard Took,Hobbits,,Unnamed wife,6978,7073,95
55,58,TA 2941,FO 20,Male,,,Tolman Cotton,Hobbits,,Lily Brown,6991,7091,100
56,59,TA 2942,FO 22,Male,Brown (movie),,Filibert Bolger,Hobbits,,Poppy Chubb-Baggins,6992,7093,101
57,60,FO 43,FO 220,Male,Dark,,Eldarion,Men,"Reunited Kingdom,Arnor,Gondor",,7114,7291,177
58,61,TA 2985,FO 23,Male,Dark,,Elfhelm,Men,,,7035,7094,59
59,62,TA 2983,FO 27,Female,Dark Brown,,Mentha Brandybuck,Hobbits,,,7033,7098,65
60,63,TA 2978,FO 30,Male,,,Folco Boffin,Hobbits,,,7028,7101,73
61,64,TA 2988,FO 33,Male,,,Tosto Boffin,Hobbits,,,7038,7104,66
62,65,TA 2955,FO 34,Male,Black,Tall,Imrahil,Men,,Unnamed wife,7005,7105,100
63,66,TA 2980,FO 42,Male,,,Fredegar Bolger,Hobbits,,"unknown, possibly unmarried",7030,7113,83
64,67,TA 2920,FO 50,Male,,,Ted Sandyman,Hobbits,,,6970,7121,151
65,68,TA 2972,FO 54,Female,,,Daisy Gamgee I,Hobbits,,,7022,7125,103
66,69,TA 2987,FO 57,Male,,,Elphir,Men,,Unnamed wife,7037,7128,91
67,70,TA 2990,FO 57,Male,,,Erchirion,Men,,,7040,7128,88
68,71,TA 2980,FO 60,Male,,,Tolman Cotton Jr.,Hobbits,,Marigold Cotton,7030,7131,101
69,72,TA 2980,FO 61,Male,Blond (movie),"1.22m (4'0"")",Samwise Gamgee,Hobbits,,Rosie Cotton,7030,7132,102
70,73,TA 2981,FO 61,Female,Blonde,,Angelica Baggins,Hobbit,,,7031,7132,101
71,74,TA 2984,FO 61,Female,Light brown (film),,Rosie Cotton,Hobbits,,Sam Gamgee,7034,7132,98
72,75,TA 2975,FO 63,Female,,,Pearl Took,Hobbits,,None,7025,7134,109
73,76,TA 2985,FO 63,Female,Dark Blonde,,Estella (Bolger) Brandybuck,Hobbits,,Meriadoc Brandybuck,7035,7134,99
74,77,TA 2990,FO 63,Male,Dirty blond,Tall-6'6,Éomer,Men,Rohan,Lothíriel after the War of the Ring,7040,7134,94
75,78,TA 2995,FO 63,Female,Brown (film),,Diamond Took,Hobbits,,Peregrin Took,7045,7134,89
76,79,TA 2982,FO 65,Male,Golden yellow (film),"1.38m (4'6"")",Meriadoc Brandybuck,Hobbit,,Estella (Bolger) Brandybuck,7032,7136,104
77,80,TA 2990,FO 65,Male,Almost golden,"1.34m (4'5"")",Peregrin Took,Hobbits,,Diamond of Long Cleeve,7040,7136,96
78,81,TA 2926,FO 7 ,Male,"Brown, later gray","1.2m (3'11"")",Hamfast Gamgee,Hobbit,,Bell Goodchild,6976,7078,102
79,82,TA 2983,FO 82,Male,Raven,,Faramir,Men,Minas Ithil,Éowyn,7033,7153,120
80,83,TA 2772,FO 91,Male,Brown,,Dwalin,Dwarves,,,6822,7162,340
81,84,TA 3017,FO 95,Male,,,Alphros,Men,,,7067,7166,99
82,85,Before CA,Immortal,Male,,,Ossë,Ainur,,Uinen,-1,7291,7292
83,86,Before CA,Immortal,Male,,,Irmo,Ainur,,Estë,-1,7291,7292
84,87,Before CA,Immortal,Male,,,Eönwë,Ainur,,,-1,7291,7292
85,88,Before CA,Immortal,Female,,,Estë,Ainur,,Irmo,-1,7291,7292
86,89,Before CA,Immortal,Male,,Varies,Oromë,Ainur,,Vána,-1,7291,7292
87,90,Before CA,Immortal,Male,,Various,Òmar,Ainur,,None,-1,7291,7292
88,91,Before CA,Immortal,Female,,Varies,Yavanna,Ainur,Pastures of Yavanna,Aulë,-1,7291,7292
89,92,Before CA,Immortal,Female,,,Nienna,Ainur,"Valinor,Halls of Nienna",None,-1,7291,7292
90,93,Before CA,Immortal,Female,,Varies,Nessa,Ainur,Valinor,Tulkas,-1,7291,7292
91,94,Before CA,Immortal,Male,Dark,Any size by choice,Melkor,Ainur,"Utumno,Angband,Middle-earth,Beleriand",,-1,7291,7292
92,95,Before CA,Immortal,Female,Dark,,Melian,Ainur,Doriath,Thingol,-1,7291,7292
93,96,Before CA,Immortal,Male,,,Ulmo,Ainur,"Valinor,Ulmonan",None,-1,7291,7292
94,97,Before CA,Immortal,Female,,,Uinen,,,Ossë,-1,7291,7292
95,98,Before CA,Immortal,Male,Golden,,Tulkas,Ainur,"Valinor,House of Tulkas",Nessa,-1,7291,7292
96,99,Before CA,Immortal,Male,,30,Thorondor,Great Eagles,,,-1,7291,7292
97,100,Before CA,Immortal,Male,,,Aulë,Ainur,,Yavanna,-1,7291,7292
98,101,Before CA,Immortal,Female,,,Arien,Ainur,,None,-1,7291,7292
99,102,Before CA,Immortal,Male,,,Salmar,Ainur,,,-1,7291,7292
100,103,Before CA,Immortal,Male,,,Manwë,Ainur,"Arda,Valinor",Varda,-1,7291,7292
101,104,Before CA,Immortal,Female,,,Varda,Ainur,Arda,Manwë,-1,7291,7292
102,105,Before CA,Immortal,Female,,,Vairë,Ainur,"Valinor,Halls of Mandos",Mandos,-1,7291,7292
103,106,Before CA,Immortal,Male, ,,Tilion,Ainur,,None,-1,7291,7292
104,107,SA 700,SA 1098,Male,,,Tar-Aldarion,Men,Númenor,Erendis,1300,1698,398
105,108,SA 852,SA 1211,Male,,,Hallacar,Men,,Tar-Ancalimë,1452,1811,359
106,109,SA 873,SA 1285,Female,,,Tar-Ancalimë,Men,Númenor,Hallacar,1473,1885,412
107,110,SA 1003,SA 1404,Male,,,Tar-Anárion,Men,Númenor,Unnamed wife,1603,2004,401
108,111,SA 1174,SA 1574,Male,,,Tar-Súrion,Men,Númenor,Unnamed wife,1774,2174,400
109,112,Before CA,SA 1697,Male,Dark,,Celebrimbor,Elves,Eregion,,-1,2297,2298
110,113,SA 1320,SA 1731,Female,,,Tar-Telperiën,Men,Númenor,None,1920,2331,411
111,114,SA 1474,SA 1873,Male,,,Tar-Minastir,Men,Númenor,Unnamed wife,2074,2473,399
